,keywords,number_of_times_word_appeared,tf,idf,tf_idf
633,important decisions,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1665,develop new use,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3784,possible months ago,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3536,” remarked,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
5,dreamed possible,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3528,Kevin Sneader,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1648,months ago Maintaining,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2201,companies successfully navigate,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1133,reflecting small,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
351,small nimble teams,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1390,faster better dreamed,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4342,built hurry deal,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1630,Maintaining sense possibility,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1162,better dreamed,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2230,functional teams,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4332,ago Maintaining sense,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1624,targeted campaigns,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3781,leaders reflecting,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2536,chains service,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3770,companies adapted,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4055,teams built hurry,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3917,using digital,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
814,sense possibility enduring,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1087,emergency made important,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1855,successfully navigate,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3302,future work,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
561,deal COVID19 emergency,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3564,hurry deal,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2805,decisions faster better,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3188,services across,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1081,made important decisions,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2552,leaders reflecting small,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2902,models deliver solutions,1,5.611357387352e-05,0.0,0.0
2903,overlap among stages,1,5.611357387352e-05,0.0,0.0
2968,talent scarcest,1,5.611357387352e-05,0.0,0.0
2904,For example consumers,1,5.611357387352e-05,0.0,0.0
2937,variable ones leveraging,1,5.611357387352e-05,0.0,0.0
2905,avoid panic,1,5.611357387352e-05,0.0,0.0
2921,ready confront challenges—and,1,5.611357387352e-05,0.0,0.0
2947,range potential,1,5.611357387352e-05,0.0,0.0
2946,compressing months effort,1,5.611357387352e-05,0.0,0.0
2936,different sector,1,5.611357387352e-05,0.0,0.0
2966,reimagine business model,1,5.611357387352e-05,0.0,0.0
2906,onceprevalent globalsourcing model,1,5.611357387352e-05,0.0,0.0
2965,results rather expertise,1,5.611357387352e-05,0.0,0.0
2964,capital means creating,1,5.611357387352e-05,0.0,0.0
2963,city For,1,5.611357387352e-05,0.0,0.0
2967,however Brazil,1,5.611357387352e-05,0.0,0.0
2901,data satellite imaging,1,5.611357387352e-05,0.0,0.0
2969,people work best,1,5.611357387352e-05,0.0,0.0
2899,productdevelopment customer,1,5.611357387352e-05,0.0,0.0
2941,office Designed,1,5.611357387352e-05,0.0,0.0
2973,reskilling sales force,1,5.611357387352e-05,0.0,0.0
2893,Act urgency During,1,5.611357387352e-05,0.0,0.0
2972,common performance,1,5.611357387352e-05,0.0,0.0
2894,As businesses around,1,5.611357387352e-05,0.0,0.0
2940,3 From,1,5.611357387352e-05,0.0,0.0
2942,experiment refine targeted,1,5.611357387352e-05,0.0,0.0
2895,startup They invested,1,5.611357387352e-05,0.0,0.0
2900,plan sets win,1,5.611357387352e-05,0.0,0.0
2896,’ way,1,5.611357387352e-05,0.0,0.0
2897,focus recovering,1,5.611357387352e-05,0.0,0.0
2971,coming COVID19 hastened,1,5.611357387352e-05,0.0,0.0
2939,2020 increased,1,5.611357387352e-05,0.0,0.0
2944,back environment,1,5.611357387352e-05,0.0,0.0
2898,established new business–building,1,5.611357387352e-05,0.0,0.0
2945,validating models,1,5.611357387352e-05,0.0,0.0
2970,supported right processes,1,5.611357387352e-05,0.0,0.0
2938,goals focused,1,5.611357387352e-05,0.0,0.0
2943,making local,1,5.611357387352e-05,0.0,0.0
2935,Demand planning Impact,1,5.611357387352e-05,0.0,0.0
2934,global value,1,5.611357387352e-05,0.0,0.0
2961,emphasis talent development,1,5.611357387352e-05,0.0,0.0
2913,personalization This,1,5.611357387352e-05,0.0,0.0
2948,tasks remotely,1,5.611357387352e-05,0.0,0.0
2954,imaging insights,1,5.611357387352e-05,0.0,0.0
2953,delivered using digital,1,5.611357387352e-05,0.0,0.0
2924,resilience return reimagination,1,5.611357387352e-05,0.0,0.0
2914,Early signals,1,5.611357387352e-05,0.0,0.0
2915,making authority It,1,5.611357387352e-05,0.0,0.0
2955,also showing profound,1,5.611357387352e-05,0.0,0.0
2916,weeks company recovered,1,5.611357387352e-05,0.0,0.0
2952,including bringing cloud,1,5.611357387352e-05,0.0,0.0
2918,term get,1,5.611357387352e-05,0.0,0.0
2951,going back The,1,5.611357387352e-05,0.0,0.0
2923,Analyzing demand,1,5.611357387352e-05,0.0,0.0
2919,partner McKinsey,1,5.611357387352e-05,0.0,0.0
2950,productdriven value chains,1,5.611357387352e-05,0.0,0.0
2920,customer enabled,1,5.611357387352e-05,0.0,0.0
2917,across sectors exposing,1,5.611357387352e-05,0.0,0.0
2956,Experience shown better,1,5.611357387352e-05,0.0,0.0
2925,comes shifts,1,5.611357387352e-05,0.0,0.0
2926,rise need,1,5.611357387352e-05,0.0,0.0
2907,service North,1,5.611357387352e-05,0.0,0.0
2949,Much progress,1,5.611357387352e-05,0.0,0.0
2933,new app,1,5.611357387352e-05,0.0,0.0
2932,weekly 30minute,1,5.611357387352e-05,0.0,0.0
2908,transactional relationships,1,5.611357387352e-05,0.0,0.0
2909,attacking style soccer,1,5.611357387352e-05,0.0,0.0
2931,ecosystem considering,1,5.611357387352e-05,0.0,0.0
2910,forecasting asset,1,5.611357387352e-05,0.0,0.0
2930,deals decide,1,5.611357387352e-05,0.0,0.0
2960,comfortable going,1,5.611357387352e-05,0.0,0.0
2911,organizations new operating,1,5.611357387352e-05,0.0,0.0
2929,imagine better placed,1,5.611357387352e-05,0.0,0.0
2959,The moment lost,1,5.611357387352e-05,0.0,0.0
2928,stages order might,1,5.611357387352e-05,0.0,0.0
2927,First requires,1,5.611357387352e-05,0.0,0.0
2912,repetitive tasks rise,1,5.611357387352e-05,0.0,0.0
2958,When crisis,1,5.611357387352e-05,0.0,0.0
2962,country even city,1,5.611357387352e-05,0.0,0.0
2957,need set ambitious,1,5.611357387352e-05,0.0,0.0
2866,© 2020 McKinsey,1,5.611357387352e-05,0.0,0.0
2891,torment inflicted,1,5.611357387352e-05,0.0,0.0
2798,costs related projects,1,5.611357387352e-05,0.0,0.0
2799,Instead reacted,1,5.611357387352e-05,0.0,0.0
2800,star player Pelé,1,5.611357387352e-05,0.0,0.0
2801,creation opportunities,1,5.611357387352e-05,0.0,0.0
2802,pickup To,1,5.611357387352e-05,0.0,0.0
2803,firsttime customers,1,5.611357387352e-05,0.0,0.0
2804,would likely,1,5.611357387352e-05,0.0,0.0
2806,” Fourth Industrial,1,5.611357387352e-05,0.0,0.0
2807,effective decentralization,1,5.611357387352e-05,0.0,0.0
2808,terms digitizing,1,5.611357387352e-05,0.0,0.0
2809,foundations enduring,1,5.611357387352e-05,0.0,0.0
2810,airline developed new,1,5.611357387352e-05,0.0,0.0
2811,creating unique work,1,5.611357387352e-05,0.0,0.0
2812,reserved 8 From,1,5.611357387352e-05,0.0,0.0
2813,business back environment,1,5.611357387352e-05,0.0,0.0
2814,get things done,1,5.611357387352e-05,0.0,0.0
2815,public transportation,1,5.611357387352e-05,0.0,0.0
2816,tech analytics,1,5.611357387352e-05,0.0,0.0
2817,reimagining everything Brazil,1,5.611357387352e-05,0.0,0.0
2818,growth plan sets,1,5.611357387352e-05,0.0,0.0
2819,end inventory,1,5.611357387352e-05,0.0,0.0
2820,everything Brazil came,1,5.611357387352e-05,0.0,0.0
2821,reviews twiceamonth 60minute,1,5.611357387352e-05,0.0,0.0
2822,moves Sales,1,5.611357387352e-05,0.0,0.0
2823,far greater responsiveness,1,5.611357387352e-05,0.0,0.0
2824,resolve resilience,1,5.611357387352e-05,0.0,0.0
2825,greater responsiveness,1,5.611357387352e-05,0.0,0.0
2797,recalibrated reflect,1,5.611357387352e-05,0.0,0.0
2826,leveraging “ service,1,5.611357387352e-05,0.0,0.0
2796,tasks remotely using,1,5.611357387352e-05,0.0,0.0
2794,© MaskotGetty,1,5.611357387352e-05,0.0,0.0
2767,4 From surviving,1,5.611357387352e-05,0.0,0.0
2768,methodologies accelerating cost,1,5.611357387352e-05,0.0,0.0
2769,businesses surveyed,1,5.611357387352e-05,0.0,0.0
2770,told us,1,5.611357387352e-05,0.0,0.0
2771,sense “ agile,1,5.611357387352e-05,0.0,0.0
2772,catalyze growth,1,5.611357387352e-05,0.0,0.0
2773,important identify primary,1,5.611357387352e-05,0.0,0.0
2774,rebalancing capitalspend diagnostics,1,5.611357387352e-05,0.0,0.0
2775,right dynamic network,1,5.611357387352e-05,0.0,0.0
2776,Consider Chinese,1,5.611357387352e-05,0.0,0.0
2777,order come,1,5.611357387352e-05,0.0,0.0
2778,upend old,1,5.611357387352e-05,0.0,0.0
2779,exploring launch,1,5.611357387352e-05,0.0,0.0
2780,consider return torment,1,5.611357387352e-05,0.0,0.0
2781,emerging Building,1,5.611357387352e-05,0.0,0.0
2782,three agile,1,5.611357387352e-05,0.0,0.0
2783,football new heights,1,5.611357387352e-05,0.0,0.0
2784,management There different,1,5.611357387352e-05,0.0,0.0
2785,make decisions,1,5.611357387352e-05,0.0,0.0
2786,figuring costs flexible,1,5.611357387352e-05,0.0,0.0
2787,fundamentally rethink,1,5.611357387352e-05,0.0,0.0
2788,companies build,1,5.611357387352e-05,0.0,0.0
2789,days There,1,5.611357387352e-05,0.0,0.0
2790,95 percent,1,5.611357387352e-05,0.0,0.0
2791,pulled together,1,5.611357387352e-05,0.0,0.0
2792,capital operatingexpense transparency,1,5.611357387352e-05,0.0,0.0
2793,environment value creation,1,5.611357387352e-05,0.0,0.0
2795,sense “,1,5.611357387352e-05,0.0,0.0
2827,approach spending,1,5.611357387352e-05,0.0,0.0
2828,Three factors matter,1,5.611357387352e-05,0.0,0.0
2829,crisis company,1,5.611357387352e-05,0.0,0.0
2863,confront challenges—and opportunities—of,1,5.611357387352e-05,0.0,0.0
2864,teams lose sight,1,5.611357387352e-05,0.0,0.0
2865,months opposed previous,1,5.611357387352e-05,0.0,0.0
2867,MA moves,1,5.611357387352e-05,0.0,0.0
2868,May 2020 ©,1,5.611357387352e-05,0.0,0.0
2869,recovery To,1,5.611357387352e-05,0.0,0.0
2870,matters enough companies,1,5.611357387352e-05,0.0,0.0
2871,Time impact FAST,1,5.611357387352e-05,0.0,0.0
2872,cultivation organizational,1,5.611357387352e-05,0.0,0.0
2873,need greatly improve,1,5.611357387352e-05,0.0,0.0
2874,radically changed,1,5.611357387352e-05,0.0,0.0
2875,If accelerate efforts,1,5.611357387352e-05,0.0,0.0
2876,norm year There,1,5.611357387352e-05,0.0,0.0
2877,In article suggest,1,5.611357387352e-05,0.0,0.0
2878,This means figuring,1,5.611357387352e-05,0.0,0.0
2879,roles personal,1,5.611357387352e-05,0.0,0.0
2880,important course,1,5.611357387352e-05,0.0,0.0
2881,together three agile,1,5.611357387352e-05,0.0,0.0
2882,ways responding Much,1,5.611357387352e-05,0.0,0.0
2883,learned unlearned—namely flatter,1,5.611357387352e-05,0.0,0.0
2884,role During early,1,5.611357387352e-05,0.0,0.0
2885,country country,1,5.611357387352e-05,0.0,0.0
2886,getting plane,1,5.611357387352e-05,0.0,0.0
2887,see value,1,5.611357387352e-05,0.0,0.0
2888,leaders must,1,5.611357387352e-05,0.0,0.0
2889,surely remembered historic,1,5.611357387352e-05,0.0,0.0
2890,service returns,1,5.611357387352e-05,0.0,0.0
2862,In way,1,5.611357387352e-05,0.0,0.0
2861,To address,1,5.611357387352e-05,0.0,0.0
2860,sector country In,1,5.611357387352e-05,0.0,0.0
2859,office Bob,1,5.611357387352e-05,0.0,0.0
2830,great unfreezing ”,1,5.611357387352e-05,0.0,0.0
2831,prioritize revenue opportunities,1,5.611357387352e-05,0.0,0.0
2832,business sector,1,5.611357387352e-05,0.0,0.0
2833,making shift closed,1,5.611357387352e-05,0.0,0.0
2834,learning platforms,1,5.611357387352e-05,0.0,0.0
2835,San Francisco,1,5.611357387352e-05,0.0,0.0
2836,keep top talent,1,5.611357387352e-05,0.0,0.0
2837,By organizing,1,5.611357387352e-05,0.0,0.0
2838,analytics tools approaches,1,5.611357387352e-05,0.0,0.0
2839,models rebuilt,1,5.611357387352e-05,0.0,0.0
2840,operations accelerated delivery,1,5.611357387352e-05,0.0,0.0
2841,Specifically must,1,5.611357387352e-05,0.0,0.0
2842,stronger As,1,5.611357387352e-05,0.0,0.0
2892,This favors,1,5.611357387352e-05,0.0,0.0
2843,limited accelerated,1,5.611357387352e-05,0.0,0.0
2845,orientation leadership supportive,1,5.611357387352e-05,0.0,0.0
2846,leadership onthe field,1,5.611357387352e-05,0.0,0.0
2847,value propositions,1,5.611357387352e-05,0.0,0.0
2848,addition reinventing,1,5.611357387352e-05,0.0,0.0
2849,companies institutionalize forms,1,5.611357387352e-05,0.0,0.0
2850,companies could,1,5.611357387352e-05,0.0,0.0
2851,points fragility global,1,5.611357387352e-05,0.0,0.0
2852,In sense “,1,5.611357387352e-05,0.0,0.0
2853,recovery fully starts,1,5.611357387352e-05,0.0,0.0
2855,cloud operations onpremise,1,5.611357387352e-05,0.0,0.0
2856,encourage agility,1,5.611357387352e-05,0.0,0.0
2857,triple sourcing,1,5.611357387352e-05,0.0,0.0
2858,right dynamic,1,5.611357387352e-05,0.0,0.0
2844,striking fast many,1,5.611357387352e-05,0.0,0.0
2974,matters enough,1,5.611357387352e-05,0.0,0.0
0,postCOVID19 environment,1,5.611357387352e-05,0.0,0.0
2976,speedy effective decentralization,1,5.611357387352e-05,0.0,0.0
3147,five themes,1,5.611357387352e-05,0.0,0.0
3148,exposing points fragility,1,5.611357387352e-05,0.0,0.0
3149,technology ” remarked,1,5.611357387352e-05,0.0,0.0
3150,opportunities quickly,1,5.611357387352e-05,0.0,0.0
3151,The coronavirus pandemic,1,5.611357387352e-05,0.0,0.0
3152,agile methods getting,1,5.611357387352e-05,0.0,0.0
3153,postCOVID19 develop new,1,5.611357387352e-05,0.0,0.0
3154,transparency To survive,1,5.611357387352e-05,0.0,0.0
3155,digital communication collaboration,1,5.611357387352e-05,0.0,0.0
3156,done right dynamic,1,5.611357387352e-05,0.0,0.0
3157,may feel comfortable,1,5.611357387352e-05,0.0,0.0
3158,models proving much,1,5.611357387352e-05,0.0,0.0
3159,In short lowcost,1,5.611357387352e-05,0.0,0.0
3160,hit If accelerate,1,5.611357387352e-05,0.0,0.0
3161,quality endcustomer connectivity,1,5.611357387352e-05,0.0,0.0
3163,increased health,1,5.611357387352e-05,0.0,0.0
3164,4 Accelerate,1,5.611357387352e-05,0.0,0.0
3165,How ever,1,5.611357387352e-05,0.0,0.0
3166,ever tell ’,1,5.611357387352e-05,0.0,0.0
3167,committing renewed,1,5.611357387352e-05,0.0,0.0
3168,enabled ecosystems,1,5.611357387352e-05,0.0,0.0
3169,best companies going,1,5.611357387352e-05,0.0,0.0
3170,essential example reinventing,1,5.611357387352e-05,0.0,0.0
3171,economies still reeling,1,5.611357387352e-05,0.0,0.0
3172,creation unique attacking,1,5.611357387352e-05,0.0,0.0
3173,Rethinking organization,1,5.611357387352e-05,0.0,0.0
3174,To companies must,1,5.611357387352e-05,0.0,0.0
3175,even monthly daily,1,5.611357387352e-05,0.0,0.0
3176,less data certainty,1,5.611357387352e-05,0.0,0.0
3146,new app manage,1,5.611357387352e-05,0.0,0.0
3145,yet found,1,5.611357387352e-05,0.0,0.0
3144,demand patterns encourage,1,5.611357387352e-05,0.0,0.0
3143,contract played one,1,5.611357387352e-05,0.0,0.0
3111,better What,1,5.611357387352e-05,0.0,0.0
3112,paradigms build longterm,1,5.611357387352e-05,0.0,0.0
3113,digital channels,1,5.611357387352e-05,0.0,0.0
3114,sources revenue,1,5.611357387352e-05,0.0,0.0
3115,distribution models,1,5.611357387352e-05,0.0,0.0
3116,particular creation,1,5.611357387352e-05,0.0,0.0
3118,way rethink,1,5.611357387352e-05,0.0,0.0
3119,reactions In,1,5.611357387352e-05,0.0,0.0
3120,brought Brazilian,1,5.611357387352e-05,0.0,0.0
3121,organizations example continuously,1,5.611357387352e-05,0.0,0.0
3122,showing profound appreciation,1,5.611357387352e-05,0.0,0.0
3123,historic deployment remote,1,5.611357387352e-05,0.0,0.0
3124,described five,1,5.611357387352e-05,0.0,0.0
3125,successful leaders,1,5.611357387352e-05,0.0,0.0
3177,problems give,1,5.611357387352e-05,0.0,0.0
3126,return During current,1,5.611357387352e-05,0.0,0.0
3128,McKinsey Company,1,5.611357387352e-05,0.0,0.0
3129,need recalibrated reflect,1,5.611357387352e-05,0.0,0.0
3130,dramatic shifts,1,5.611357387352e-05,0.0,0.0
3131,complete tasks remotely,1,5.611357387352e-05,0.0,0.0
3132,sets enhancing modeling,1,5.611357387352e-05,0.0,0.0
3134,work companies,1,5.611357387352e-05,0.0,0.0
3135,management Taking,1,5.611357387352e-05,0.0,0.0
3136,data satellite,1,5.611357387352e-05,0.0,0.0
3137,organization In,1,5.611357387352e-05,0.0,0.0
3138,customers value,1,5.611357387352e-05,0.0,0.0
3139,yet found economies,1,5.611357387352e-05,0.0,0.0
3140,supply chains channels,1,5.611357387352e-05,0.0,0.0
3141,Instead reacted like,1,5.611357387352e-05,0.0,0.0
3142,approach spending A,1,5.611357387352e-05,0.0,0.0
3127,culture know company,1,5.611357387352e-05,0.0,0.0
3110,must SHAPE Startup,1,5.611357387352e-05,0.0,0.0
3178,willing set,1,5.611357387352e-05,0.0,0.0
3180,model based,1,5.611357387352e-05,0.0,0.0
3216,one airline developed,1,5.611357387352e-05,0.0,0.0
